Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
22,4,30-07-2015,5685,575,1,1,0,0
23,4,30-07-2015,5801,484,1,1,0,1
24,4,30-07-2015,11439,884,1,1,0,1
25,4,30-07-2015,11272,1422,1,1,0,1
1,3,29-07-2015,4782,523,1,1,0,1
2,3,29-07-2015,6402,727,1,1,0,1
3,3,29-07-2015,7610,716,1,1,0,1
4,3,29-07-2015,10514,1258,1,1,0,1
5,3,29-07-2015,5899,658,1,1,0,1
6,3,29-07-2015,5275,542,1,1,0,1
7,3,29-07-2015,12074,1166,1,1,0,1
8,3,29-07-2015,7029,698,1,1,0,1
9,3,29-07-2015,7776,625,1,1,0,1
10,3,29-07-2015,5524,518,1,1,0,1
11,3,29-07-2015,8378,1064,1,1,0,1
12,3,29-07-2015,9236,989,1,1,0,1
13,3,29-07-2015,6648,406,1,1,0,0
14,3,29-07-2015,5412,579,1,1,0,1
15,3,29-07-2015,7583,668,1,1,0,1
16,3,29-07-2015,9471,930,1,1,0,0
17,3,29-07-2015,7179,861,1,1,0,1
18,3,29-07-2015,7833,732,1,1,0,1
19,3,29-07-2015,7182,610,1,1,0,1
20,3,29-07-2015,10728,1040,1,1,0,0
21,3,29-07-2015,7337,560,1,1,0,0
22,3,29-07-2015,5551,525,1,1,0,0
23,3,29-07-2015,6319,511,1,1,0,1
24,3,29-07-2015,10362,810,1,1,0,1
25,3,29-07-2015,10527,1254,1,1,0,1
1,2,28-07-2015,5011,560,1,1,0,1
2,2,28-07-2015,5671,646,1,1,0,1
3,2,28-07-2015,8864,818,1,1,0,1
4,2,28-07-2015,10275,1191,1,1,0,1
5,2,28-07-2015,6083,598,1,1,0,1
6,2,28-07-2015,4839,576,1,1,0,1
7,2,28-07-2015,12342,1158,1,1,0,1
8,2,28-07-2015,6717,695,1,1,0,1
9,2,28-07-2015,8751,678,1,1,0,1
10,2,28-07-2015,6140,593,1,1,0,1
11,2,28-07-2015,6938,938,1,1,0,1
12,2,28-07-2015,8822,861,1,1,0,1
13,2,28-07-2015,6819,446,1,1,0,0
14,2,28-07-2015,5957,628,1,1,0,1
15,2,28-07-2015,7516,646,1,1,0,1
16,2,28-07-2015,9695,1013,1,1,0,0
17,2,28-07-2015,9316,983,1,1,0,1
18,2,28-07-2015,7704,724,1,1,0,1
19,2,28-07-2015,7717,633,1,1,0,1
20,2,28-07-2015,10884,1048,1,1,0,0
21,2,28-07-2015,7948,575,1,1,0,0
22,2,28-07-2015,5761,525,1,1,0,0
23,2,28-07-2015,5923,484,1,1,0,1
24,2,28-07-2015,11129,876,1,1,0,1
25,2,28-07-2015,10865,1363,1,1,0,1
1,1,27-07-2015,6102,612,1,1,0,1
2,1,27-07-2015,6627,638,1,1,0,1
3,1,27-07-2015,8107,768,1,1,0,1
4,1,27-07-2015,11812,1379,1,1,0,1
5,1,27-07-2015,7059,650,1,1,0,1
6,1,27-07-2015,5723,582,1,1,0,1
7,1,27-07-2015,14869,1340,1,1,0,1
8,1,27-07-2015,8739,841,1,1,0,1
9,1,27-07-2015,10649,777,1,1,0,1
10,1,27-07-2015,7212,662,1,1,0,1
11,1,27-07-2015,8796,1070,1,1,0,1
12,1,27-07-2015,10227,979,1,1,0,1
13,1,27-07-2015,7926,527,1,1,0,0
14,1,27-07-2015,6614,727,1,1,0,1
15,1,27-07-2015,9053,753,1,1,0,1
16,1,27-07-2015,10260,1038,1,1,0,0
17,1,27-07-2015,8293,904,1,1,0,1
18,1,27-07-2015,10055,888,1,1,0,1
19,1,27-07-2015,8825,732,1,1,0,1
20,1,27-07-2015,11255,1183,1,1,0,0
21,1,27-07-2015,9657,634,1,1,0,0
22,1,27-07-2015,7114,621,1,1,0,0
23,1,27-07-2015,8488,615,1,1,0,1
24,1,27-07-2015,13096,973,1,1,0,1
25,1,27-07-2015,11806,1536,1,1,0,1
1,7,26-07-2015,0,0,0,0,0,0
2,7,26-07-2015,0,0,0,0,0,0
3,7,26-07-2015,0,0,0,0,0,0
4,7,26-07-2015,0,0,0,0,0,0
5,7,26-07-2015,0,0,0,0,0,0
6,7,26-07-2015,0,0,0,0,0,0
7,7,26-07-2015,0,0,0,0,0,0
8,7,26-07-2015,0,0,0,0,0,0
9,7,26-07-2015,0,0,0,0,0,0
10,7,26-07-2015,0,0,0,0,0,1
11,7,26-07-2015,0,0,0,0,0,0
12,7,26-07-2015,0,0,0,0,0,0
13,7,26-07-2015,0,0,0,0,0,0
14,7,26-07-2015,0,0,0,0,0,0
15,7,26-07-2015,0,0,0,0,0,0
16,7,26-07-2015,0,0,0,0,0,0
17,7,26-07-2015,0,0,0,0,0,0
18,7,26-07-2015,0,0,0,0,0,0
19,7,26-07-2015,0,0,0,0,0,0
20,7,26-07-2015,0,0,0,0,0,0
21,7,26-07-2015,0,0,0,0,0,0
22,7,26-07-2015,0,0,0,0,0,0
23,7,26-07-2015,0,0,0,0,0,0
24,7,26-07-2015,0,0,0,0,0,0
25,7,26-07-2015,0,0,0,0,0,0
1,6,25-07-2015,4364,500,1,0,0,0
2,6,25-07-2015,2512,316,1,0,0,0
3,6,25-07-2015,3878,412,1,0,0,0
4,6,25-07-2015,9322,1219,1,0,0,0
5,6,25-07-2015,2030,228,1,0,0,0
6,6,25-07-2015,2892,306,1,0,0,0
7,6,25-07-2015,6574,705,1,0,0,0
8,6,25-07-2015,3288,398,1,0,0,0
9,6,25-07-2015,5330,468,1,0,0,0
10,6,25-07-2015,4713,475,1,0,0,1
11,6,25-07-2015,4712,642,1,0,0,0
12,6,25-07-2015,5185,651,1,0,0,0
13,6,25-07-2015,4361,340,1,0,0,0
14,6,25-07-2015,2952,348,1,0,0,0
15,6,25-07-2015,5209,555,1,0,0,0
16,6,25-07-2015,6105,571,1,0,0,0
17,6,25-07-2015,2572,357,1,0,0,0
18,6,25-07-2015,4416,475,1,0,0,0
19,6,25-07-2015,3562,299,1,0,0,0
20,6,25-07-2015,6588,643,1,0,0,0
21,6,25-07-2015,5808,512,1,0,0,0
22,6,25-07-2015,3540,415,1,0,0,0
23,6,25-07-2015,4191,388,1,0,0,0
24,6,25-07-2015,5916,537,1,0,0,0
25,6,25-07-2015,7285,1004,1,0,0,0
1,5,24-07-2015,3706,459,1,0,0,0
2,5,24-07-2015,3854,468,1,0,0,1
3,5,24-07-2015,5080,607,1,0,0,1
4,5,24-07-2015,8322,1108,1,0,0,1
5,5,24-07-2015,3815,485,1,0,0,1
6,5,24-07-2015,3804,454,1,0,0,1
7,5,24-07-2015,9203,1062,1,0,0,1
8,5,24-07-2015,4917,558,1,0,0,1
9,5,24-07-2015,5464,546,1,0,0,1
10,5,24-07-2015,6152,603,1,0,0,1
11,5,24-07-2015,6192,869,1,0,0,1
12,5,24-07-2015,6078,758,1,0,0,1
13,5,24-07-2015,3483,287,1,0,0,0
14,5,24-07-2015,4775,567,1,0,0,1
15,5,24-07-2015,5255,573,1,0,0,1
16,5,24-07-2015,7781,888,1,0,0,0
17,5,24-07-2015,4443,657,1,0,0,1
18,5,24-07-2015,6409,717,1,0,0,1
19,5,24-07-2015,5330,509,1,0,0,1
20,5,24-07-2015,7988,885,1,0,0,0
21,5,24-07-2015,4138,427,1,0,0,0
22,5,24-07-2015,5221,592,1,0,0,0
23,5,24-07-2015,4483,434,1,0,0,0
24,5,24-07-2015,7692,681,1,0,0,1
25,5,24-07-2015,7165,1120,1,0,0,1
1,4,23-07-2015,3769,503,1,0,0,0
2,4,23-07-2015,4108,521,1,0,0,1
3,4,23-07-2015,5702,655,1,0,0,1
4,4,23-07-2015,7286,1101,1,0,0,1
5,4,23-07-2015,3713,455,1,0,0,1
6,4,23-07-2015,3482,442,1,0,0,1
7,4,23-07-2015,9550,1096,1,0,0,1
8,4,23-07-2015,6109,783,1,0,0,1
9,4,23-07-2015,6471,579,1,0,0,1
10,4,23-07-2015,6401,579,1,0,0,1
11,4,23-07-2015,6151,914,1,0,0,1
12,4,23-07-2015,5784,780,1,0,0,1
13,4,23-07-2015,3959,312,1,0,0,0
14,4,23-07-2015,4080,514,1,0,0,1
15,4,23-07-2015,5623,586,1,0,0,1
16,4,23-07-2015,7865,924,1,0,0,0
17,4,23-07-2015,5328,731,1,0,0,1
18,4,23-07-2015,6450,684,1,0,0,1
19,4,23-07-2015,5465,528,1,0,0,1
20,4,23-07-2015,9262,1076,1,0,0,0
21,4,23-07-2015,4340,388,1,0,0,0
22,4,23-07-2015,4390,501,1,0,0,0
23,4,23-07-2015,4311,430,1,0,0,0
24,4,23-07-2015,7534,701,1,0,0,1
25,4,23-07-2015,8323,1224,1,0,0,1
1,3,22-07-2015,3464,463,1,0,0,0
2,3,22-07-2015,5093,650,1,0,0,1
3,3,22-07-2015,5414,607,1,0,0,1
4,3,22-07-2015,8503,1108,1,0,0,1
5,3,22-07-2015,3595,503,1,0,0,1
6,3,22-07-2015,3469,408,1,0,0,1
7,3,22-07-2015,8214,874,1,0,0,1
8,3,22-07-2015,4996,626,1,0,0,1
9,3,22-07-2015,5649,539,1,0,0,1
10,3,22-07-2015,5561,600,1,0,0,0
11,3,22-07-2015,7185,997,1,0,0,1
12,3,22-07-2015,6201,796,1,0,0,1
13,3,22-07-2015,3164,256,1,0,0,0
14,3,22-07-2015,4409,541,1,0,0,1
15,3,22-07-2015,4899,511,1,0,0,1
16,3,22-07-2015,6779,802,1,0,0,0
17,3,22-07-2015,4952,674,1,0,0,1
18,3,22-07-2015,5940,654,1,0,0,1
19,3,22-07-2015,4826,532,1,0,0,1
20,3,22-07-2015,7264,823,1,0,0,0
21,3,22-07-2015,4162,386,1,0,0,0
22,3,22-07-2015,4058,436,1,0,0,0
23,3,22-07-2015,4364,413,1,0,0,0
24,3,22-07-2015,7706,720,1,0,0,1
25,3,22-07-2015,9047,1147,1,0,0,1
1,2,21-07-2015,3558,469,1,0,0,0
2,2,21-07-2015,3836,532,1,0,0,1
3,2,21-07-2015,5600,661,1,0,0,1
4,2,21-07-2015,9176,1149,1,0,0,1
5,2,21-07-2015,3497,445,1,0,0,1
6,2,21-07-2015,3720,494,1,0,0,1
7,2,21-07-2015,9169,1118,1,0,0,1
8,2,21-07-2015,5168,673,1,0,0,1
9,2,21-07-2015,5873,510,1,0,0,1
10,2,21-07-2015,6479,654,1,0,0,0
11,2,21-07-2015,6315,932,1,0,0,1
12,2,21-07-2015,6314,813,1,0,0,1
13,2,21-07-2015,3080,248,1,0,0,0
14,2,21-07-2015,4518,555,1,0,0,1
15,2,21-07-2015,5449,545,1,0,0,1
16,2,21-07-2015,7274,887,1,0,0,0
17,2,21-07-2015,5847,759,1,0,0,1
18,2,21-07-2015,5207,596,1,0,0,1
19,2,21-07-2015,5362,564,1,0,0,1
20,2,21-07-2015,7759,899,1,0,0,0
21,2,21-07-2015,3620,367,1,0,0,0
22,2,21-07-2015,4487,468,1,0,0,0
23,2,21-07-2015,4089,382,1,0,0,0
24,2,21-07-2015,8227,718,1,0,0,1
25,2,21-07-2015,8718,1279,1,0,0,1
1,1,20-07-2015,4395,526,1,0,0,0
2,1,20-07-2015,4435,564,1,0,0,1
3,1,20-07-2015,5798,671,1,0,0,1
4,1,20-07-2015,10283,1348,1,0,0,1
5,1,20-07-2015,4183,530,1,0,0,1
6,1,20-07-2015,4301,548,1,0,0,1
7,1,20-07-2015,10159,1112,1,0,0,1
8,1,20-07-2015,5956,733,1,0,0,1
9,1,20-07-2015,7152,622,1,0,0,1
10,1,20-07-2015,6111,657,1,0,0,0
11,1,20-07-2015,7733,1062,1,0,0,1
12,1,20-07-2015,6754,885,1,0,0,1
13,1,20-07-2015,3868,307,1,0,0,0
14,1,20-07-2015,4780,571,1,0,0,1
15,1,20-07-2015,6898,671,1,0,0,1
16,1,20-07-2015,7632,939,1,0,0,0
17,1,20-07-2015,5908,824,1,0,0,1
18,1,20-07-2015,6336,711,1,0,0,1
19,1,20-07-2015,6635,618,1,0,0,1
20,1,20-07-2015,9384,1001,1,0,0,0
21,1,20-07-2015,4170,419,1,0,0,0
22,1,20-07-2015,4675,503,1,0,0,0
23,1,20-07-2015,5729,511,1,0,0,0
24,1,20-07-2015,9362,829,1,0,0,1
25,1,20-07-2015,10493,1413,1,0,0,1
1,7,19-07-2015,0,0,0,0,0,0
2,7,19-07-2015,0,0,0,0,0,0
3,7,19-07-2015,0,0,0,0,0,0
4,7,19-07-2015,0,0,0,0,0,0
5,7,19-07-2015,0,0,0,0,0,0
6,7,19-07-2015,0,0,0,0,0,0
7,7,19-07-2015,0,0,0,0,0,0
8,7,19-07-2015,0,0,0,0,0,0
9,7,19-07-2015,0,0,0,0,0,0
10,7,19-07-2015,0,0,0,0,0,0
11,7,19-07-2015,0,0,0,0,0,0
12,7,19-07-2015,0,0,0,0,0,0
13,7,19-07-2015,0,0,0,0,0,0
14,7,19-07-2015,0,0,0,0,0,0
15,7,19-07-2015,0,0,0,0,0,0
16,7,19-07-2015,0,0,0,0,0,0
17,7,19-07-2015,0,0,0,0,0,0
18,7,19-07-2015,0,0,0,0,0,0
19,7,19-07-2015,0,0,0,0,0,0
20,7,19-07-2015,0,0,0,0,0,0
21,7,19-07-2015,0,0,0,0,0,0
22,7,19-07-2015,0,0,0,0,0,0
23,7,19-07-2015,0,0,0,0,0,0
24,7,19-07-2015,0,0,0,0,0,0
25,7,19-07-2015,0,0,0,0,0,0
1,6,18-07-2015,4406,512,1,0,0,0
2,6,18-07-2015,3417,359,1,0,0,0
3,6,18-07-2015,4258,417,1,0,0,0
4,6,18-07-2015,9703,1284,1,0,0,0
5,6,18-07-2015,2108,241,1,0,0,0
6,6,18-07-2015,2915,295,1,0,0,0
7,6,18-07-2015,6861,729,1,0,0,0
8,6,18-07-2015,3813,442,1,0,0,0
9,6,18-07-2015,5987,555,1,0,0,0
10,6,18-07-2015,5761,550,1,0,0,0
11,6,18-07-2015,5740,810,1,0,0,0
12,6,18-07-2015,7213,860,1,0,0,0
13,6,18-07-2015,4956,394,1,0,0,0
14,6,18-07-2015,3254,362,1,0,0,0
15,6,18-07-2015,5770,609,1,0,0,0
16,6,18-07-2015,5288,550,1,0,0,0
17,6,18-07-2015,2608,334,1,0,0,0
18,6,18-07-2015,4677,504,1,0,0,0
19,6,18-07-2015,4795,391,1,0,0,0
20,6,18-07-2015,5287,535,1,0,0,0
21,6,18-07-2015,7524,544,1,0,0,0
22,6,18-07-2015,3578,390,1,0,0,0
23,6,18-07-2015,4364,435,1,0,0,0
24,6,18-07-2015,7653,653,1,0,0,0
25,6,18-07-2015,7861,1091,1,0,0,0
1,5,17-07-2015,4852,519,1,1,0,0
2,5,17-07-2015,4518,495,1,1,0,1
3,5,17-07-2015,6679,673,1,1,0,1
4,5,17-07-2015,10514,1343,1,1,0,1
5,5,17-07-2015,4355,513,1,1,0,1
6,5,17-07-2015,4422,519,1,1,0,1
7,5,17-07-2015,10339,1086,1,1,0,0
8,5,17-07-2015,6728,684,1,1,0,0
9,5,17-07-2015,6845,598,1,1,0,1
10,5,17-07-2015,5356,579,1,1,0,0
11,5,17-07-2015,7757,1024,1,1,0,0
12,5,17-07-2015,7684,916,1,1,0,0
13,5,17-07-2015,5740,394,1,1,0,0
14,5,17-07-2015,5346,579,1,1,0,1
15,5,17-07-2015,9368,775,1,1,0,0
16,5,17-07-2015,7605,861,1,1,0,0
17,5,17-07-2015,6243,739,1,1,0,1
18,5,17-07-2015,7660,819,1,1,0,1
19,5,17-07-2015,6384,593,1,1,0,1
20,5,17-07-2015,8117,843,1,1,0,0
21,5,17-07-2015,6745,557,1,1,0,0
22,5,17-07-2015,5369,548,1,1,0,0
23,5,17-07-2015,5551,454,1,1,0,0
24,5,17-07-2015,9283,765,1,1,0,1
25,5,17-07-2015,9155,1206,1,1,0,1
1,4,16-07-2015,4427,517,1,1,0,0
2,4,16-07-2015,5062,544,1,1,0,1
3,4,16-07-2015,7909,812,1,1,0,1
4,4,16-07-2015,11432,1417,1,1,0,1
5,4,16-07-2015,4963,571,1,1,0,1
6,4,16-07-2015,5115,542,1,1,0,1
7,4,16-07-2015,10774,1102,1,1,0,0
8,4,16-07-2015,8808,988,1,1,0,0
9,4,16-07-2015,8113,640,1,1,0,1
10,4,16-07-2015,6275,614,1,1,0,0
11,4,16-07-2015,8149,1119,1,1,0,0
12,4,16-07-2015,9234,1036,1,1,0,0
13,4,16-07-2015,5921,406,1,1,0,0
14,4,16-07-2015,6152,664,1,1,0,1
15,4,16-07-2015,8501,769,1,1,0,0
16,4,16-07-2015,7954,882,1,1,0,0
17,4,16-07-2015,7231,835,1,1,0,1
18,4,16-07-2015,6887,719,1,1,0,1
19,4,16-07-2015,7328,625,1,1,0,1
20,4,16-07-2015,9100,1033,1,1,0,0
21,4,16-07-2015,6018,473,1,1,0,0
22,4,16-07-2015,4842,505,1,1,0,0
23,4,16-07-2015,5822,480,1,1,0,0
24,4,16-07-2015,10703,870,1,1,0,1
25,4,16-07-2015,12281,1515,1,1,0,1
1,3,15-07-2015,4767,550,1,1,0,0
2,3,15-07-2015,6406,780,1,1,0,1
3,3,15-07-2015,8663,865,1,1,0,1
4,3,15-07-2015,11126,1377,1,1,0,0
5,3,15-07-2015,6323,716,1,1,0,1
6,3,15-07-2015,4582,530,1,1,0,1
7,3,15-07-2015,10095,991,1,1,0,0
8,3,15-07-2015,7932,802,1,1,0,0
9,3,15-07-2015,7013,633,1,1,0,1
10,3,15-07-2015,6423,628,1,1,0,0
11,3,15-07-2015,9645,1194,1,1,0,0
12,3,15-07-2015,10008,1113,1,1,0,0
13,3,15-07-2015,10334,415,1,1,0,0
14,3,15-07-2015,6143,668,1,1,0,1
15,3,15-07-2015,7885,694,1,1,0,0
16,3,15-07-2015,10099,1001,1,1,0,0
17,3,15-07-2015,8172,909,1,1,0,1
18,3,15-07-2015,7933,781,1,1,0,1
19,3,15-07-2015,7485,675,1,1,0,1
20,3,15-07-2015,8262,944,1,1,0,0
21,3,15-07-2015,6377,500,1,1,0,0
22,3,15-07-2015,4841,533,1,1,0,0
23,3,15-07-2015,5604,497,1,1,0,0
24,3,15-07-2015,11869,948,1,1,0,1
25,3,15-07-2015,12171,1406,1,1,0,1
1,2,14-07-2015,5042,544,1,1,0,0
2,2,14-07-2015,6122,645,1,1,0,1
3,2,14-07-2015,8625,769,1,1,0,1
4,2,14-07-2015,12315,1485,1,1,0,0
5,2,14-07-2015,6144,607,1,1,0,1
6,2,14-07-2015,5758,584,1,1,0,1
7,2,14-07-2015,12294,1206,1,1,0,0
8,2,14-07-2015,8845,840,1,1,0,0
9,2,14-07-2015,7841,667,1,1,0,1
10,2,14-07-2015,7491,691,1,1,0,0
11,2,14-07-2015,9319,1226,1,1,0,0
12,2,14-07-2015,9336,943,1,1,0,0
13,2,14-07-2015,6422,438,1,1,0,0
14,2,14-07-2015,6509,668,1,1,0,1
15,2,14-07-2015,7857,687,1,1,0,0
16,2,14-07-2015,9986,1028,1,1,0,0
17,2,14-07-2015,8241,970,1,1,0,1
18,2,14-07-2015,7632,699,1,1,0,1
19,2,14-07-2015,8545,662,1,1,0,1
20,2,14-07-2015,10139,961,1,1,0,0
21,2,14-07-2015,6835,535,1,1,0,0
22,2,14-07-2015,5027,561,1,1,0,0
23,2,14-07-2015,7596,572,1,1,0,0
24,2,14-07-2015,11998,890,1,1,0,1
25,2,14-07-2015,12233,1534,1,1,0,1
1,1,13-07-2015,5054,553,1,1,0,0
2,1,13-07-2015,6874,687,1,1,0,1
3,1,13-07-2015,9462,812,1,1,0,1
4,1,13-07-2015,13550,1619,1,1,0,0
5,1,13-07-2015,7425,719,1,1,0,1
6,1,13-07-2015,6827,660,1,1,0,1
7,1,13-07-2015,13250,1252,1,1,0,0
8,1,13-07-2015,9117,935,1,1,0,0
9,1,13-07-2015,10399,759,1,1,0,1
10,1,13-07-2015,6757,621,1,1,0,0
11,1,13-07-2015,10434,1270,1,1,0,0
12,1,13-07-2015,11730,1159,1,1,0,0
13,1,13-07-2015,7525,476,1,1,0,0
14,1,13-07-2015,7202,751,1,1,0,1
15,1,13-07-2015,8691,759,1,1,0,0
16,1,13-07-2015,11932,1155,1,1,0,0
17,1,13-07-2015,10029,1069,1,1,0,1
18,1,13-07-2015,9887,863,1,1,0,1
19,1,13-07-2015,9689,735,1,1,0,1
20,1,13-07-2015,10240,1048,1,1,0,0
21,1,13-07-2015,8247,618,1,1,0,0
22,1,13-07-2015,6828,615,1,1,0,0
23,1,13-07-2015,8687,654,1,1,0,0
24,1,13-07-2015,13645,967,1,1,0,1
25,1,13-07-2015,11899,1542,1,1,0,1
1,7,12-07-2015,0,0,0,0,0,0
2,7,12-07-2015,0,0,0,0,0,0
3,7,12-07-2015,0,0,0,0,0,0
4,7,12-07-2015,0,0,0,0,0,0
5,7,12-07-2015,0,0,0,0,0,0
6,7,12-07-2015,0,0,0,0,0,0
7,7,12-07-2015,0,0,0,0,0,0
8,7,12-07-2015,0,0,0,0,0,0
9,7,12-07-2015,0,0,0,0,0,0
10,7,12-07-2015,0,0,0,0,0,0
11,7,12-07-2015,0,0,0,0,0,0
12,7,12-07-2015,0,0,0,0,0,0
13,7,12-07-2015,0,0,0,0,0,0
14,7,12-07-2015,0,0,0,0,0,0
15,7,12-07-2015,0,0,0,0,0,0
16,7,12-07-2015,0,0,0,0,0,0
17,7,12-07-2015,0,0,0,0,0,0
18,7,12-07-2015,0,0,0,0,0,0
19,7,12-07-2015,0,0,0,0,0,0
20,7,12-07-2015,0,0,0,0,0,0
21,7,12-07-2015,0,0,0,0,0,0
22,7,12-07-2015,0,0,0,0,0,0
23,7,12-07-2015,0,0,0,0,0,0
24,7,12-07-2015,0,0,0,0,0,0
25,7,12-07-2015,0,0,0,0,0,0
1,6,11-07-2015,3530,441,1,0,0,0
2,6,11-07-2015,2677,311,1,0,0,0
3,6,11-07-2015,4011,409,1,0,0,0
4,6,11-07-2015,10996,1401,1,0,0,0
5,6,11-07-2015,2023,228,1,0,0,0
6,6,11-07-2015,3134,353,1,0,0,0
7,6,11-07-2015,6425,694,1,0,0,0
8,6,11-07-2015,3707,425,1,0,0,0
9,6,11-07-2015,5076,495,1,0,0,0
10,6,11-07-2015,4636,523,1,0,0,0
11,6,11-07-2015,5756,763,1,0,0,0
12,6,11-07-2015,6612,854,1,0,0,0
13,6,11-07-2015,4031,319,1,0,0,0
14,6,11-07-2015,3103,368,1,0,0,0
15,6,11-07-2015,5738,598,1,0,0,0
16,6,11-07-2015,5414,583,1,0,0,0
17,6,11-07-2015,3034,361,1,0,0,0
18,6,11-07-2015,4940,488,1,0,0,0
19,6,11-07-2015,3718,331,1,0,0,0
20,6,11-07-2015,5332,497,1,0,0,0
21,6,11-07-2015,5519,534,1,0,0,0
22,6,11-07-2015,3480,392,1,0,0,0
23,6,11-07-2015,4219,393,1,0,0,0
24,6,11-07-2015,6579,607,1,0,0,0
25,6,11-07-2015,7996,1127,1,0,0,0
1,5,10-07-2015,3808,449,1,0,0,0
2,5,10-07-2015,4384,539,1,0,0,0
3,5,10-07-2015,6316,689,1,0,0,1
4,5,10-07-2015,9177,1245,1,0,0,0
5,5,10-07-2015,4252,530,1,0,0,0
6,5,10-07-2015,4530,576,1,0,0,0
7,5,10-07-2015,9499,1063,1,0,0,0
8,5,10-07-2015,6067,693,1,0,0,0
9,5,10-07-2015,6007,528,1,0,0,1
10,5,10-07-2015,5747,607,1,0,0,0
11,5,10-07-2015,6979,1048,1,0,0,0
12,5,10-07-2015,6730,846,1,0,0,0
13,5,10-07-2015,3639,298,1,0,0,0
14,5,10-07-2015,4981,595,1,0,0,1
15,5,10-07-2015,6323,656,1,0,0,0
16,5,10-07-2015,7768,899,1,0,0,0
17,5,10-07-2015,5451,754,1,0,0,0
18,5,10-07-2015,7818,846,1,0,0,0
19,5,10-07-2015,5531,605,1,0,0,1
20,5,10-07-2015,7201,793,1,0,0,0
21,5,10-07-2015,4809,480,1,0,0,0
22,5,10-07-2015,4038,505,1,0,0,0
23,5,10-07-2015,4850,458,1,0,0,0
24,5,10-07-2015,8889,812,1,0,0,1
25,5,10-07-2015,9300,1300,1,0,0,1
1,4,09-07-2015,3897,480,1,0,0,0
2,4,09-07-2015,4082,495,1,0,0,0
3,4,09-07-2015,6613,691,1,0,0,1
4,4,09-07-2015,9093,1185,1,0,0,0
5,4,09-07-2015,4601,540,1,0,0,0
6,4,09-07-2015,4095,524,1,0,0,0
7,4,09-07-2015,9608,1056,1,0,0,0
8,4,09-07-2015,5602,765,1,0,0,0
9,4,09-07-2015,6285,550,1,0,0,1
10,4,09-07-2015,4871,559,1,0,0,0
11,4,09-07-2015,6595,990,1,0,0,0
12,4,09-07-2015,6090,765,1,0,0,0
13,4,09-07-2015,4350,331,1,0,0,0
14,4,09-07-2015,5050,602,1,0,0,1
15,4,09-07-2015,5609,582,1,0,0,0
16,4,09-07-2015,6867,802,1,0,0,0
17,4,09-07-2015,5478,726,1,0,0,0
18,4,09-07-2015,6382,700,1,0,0,0
19,4,09-07-2015,5230,573,1,0,0,1
20,4,09-07-2015,9084,1046,1,0,0,0
21,4,09-07-2015,3484,367,1,0,0,0
22,4,09-07-2015,4534,519,1,0,0,0
23,4,09-07-2015,4986,458,1,0,0,0
24,4,09-07-2015,8638,740,1,0,0,1
25,4,09-07-2015,10159,1412,1,0,0,1
1,3,08-07-2015,3797,485,1,0,0,0
2,3,08-07-2015,5676,693,1,0,0,0
3,3,08-07-2015,6347,680,1,0,0,1
4,3,08-07-2015,8620,1134,1,0,0,0
